"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"637","HEL","Myeloid","HEL","HEL",NA,NA,"HEL",NA,"HEL",NA,"HEL","HEL","HEL",NA,"HEL","HEL","HEL",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,"Blood",NA,"Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_0001","HEL_534_2019","HEL","haematopoietic_and_lymphoid_tissue","Erythroleukemia","Cancer cell line",NA,"ACH-000004",NA,NA,NA,NA
"638","HEL 92.1.7","Myeloid",NA,"HEL 92.1.7","HEL9217",NA,NA,NA,NA,NA,"HEL_92.1.7","HEL_92.1.7",NA,NA,"HEL9217",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2481","HEL92.1.7_535_2019",NA,"haematopoietic_and_lymphoid_tissue","Erythroleukemia","Cancer cell line",NA,"ACH-000005",NA,NA,NA,NA
"639","HEY","Ovary/Fallopian Tube",NA,NA,NA,NA,"HEY",NA,"Hey","Hey",NA,NA,"Hey",NA,NA,"HEY","Hey",NA,NA,NA,NA,NA,NA,"Ovary",NA,"ovary",NA,NA,NA,NA,"ovary",NA,NA,"ovary",NA,NA,NA,NA,NA,NA,"CVCL_0297","HEY_541_2019","Hey","ovary","High grade ovarian serous adenocarcinoma","Cancer cell line",NA,"ACH-002140",NA,NA,NA,NA
"640","HEY A8","Ovary/Fallopian Tube",NA,"Hey-A8",NA,NA,NA,"HEYA8",NA,NA,"Hey-A8","Hey-A8",NA,NA,"HEYA8",NA,NA,NA,"HEYA8_OVARY",NA,"ovary",NA,NA,NA,"OVARY",NA,"ovary",NA,NA,NA,"ovary","ovary",NA,NA,"HEYA8","ovary",NA,NA,NA,"ovary","CVCL_8878","HeyA8_542_2019",NA,"ovary","High grade ovarian serous adenocarcinoma","Cancer cell line",NA,"ACH-000542",NA,NA,NA,NA
"641","HEp-2","Cervix",NA,NA,NA,NA,"HEp-2",NA,NA,NA,NA,NA,NA,NA,NA,"HEp-2",NA,NA,NA,NA,NA,NA,NA,"Cervix",NA,NA,NA,NA,NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_1906","HEp2_540_2019",NA,"upper_aerodigestive_tract","Human papillomavirus-related endocervical adenocarcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"642","HG-3","Lymphoid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_Y547","HG-36422021_",NA,NA,NA,NA,NA,"ACH-001520",NA,NA,NA,NA
"643","HGC-27","Esophagus/Stomach","HGC-27","HGC-27",NA,NA,"HGC-27",NA,"HGC-27",NA,"HGC-27","HGC-27","HGC-27",NA,"HGC27","HGC-27","HGC-27",NA,"HGC27_STOMACH","stomach","stomach",NA,NA,"Stomach",NA,"Stomach","stomach","digestive_system",NA,NA,"stomach","stomach","Stomach","stomach",NA,NA,NA,NA,NA,"gastric","CVCL_1279","HGC27_543_2019","HGC-27","stomach","Gastric carcinoma","Cancer cell line",TRUE,"ACH-000847",NA,NA,NA,NA
"644","HH [Human lymphoma]","Lymphoid","HH","HH","HH",NA,NA,NA,"HH",NA,"HH","HH","HH",NA,"HH","HH","HH",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,"Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1280","HH_544_2019","HH","haematopoietic_and_lymphoid_tissue","Cutaneous T-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-000061",NA,NA,NA,NA
"645","HHUA","Uterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_3866","HHUA6452021_",NA,NA,NA,NA,NA,"ACH-002026",NA,NA,NA,NA
"646","HK-2 [Human kidney]","Kidney",NA,"HK-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_0302","HK2_545_2019",NA,"kidney",NA,"Transformed cell line",NA,"ACH-001087",NA,NA,NA,NA
"647","HKA-1","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2943","HKA-16472021_",NA,NA,NA,NA,NA,"ACH-001521",NA,NA,NA,NA
"648","HKGZCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HKGZCC6482021_",NA,NA,NA,NA,NA,"ACH-001852",NA,NA,NA,NA
"649","HL-60","Myeloid","HL-60","HL-60","HL60",NA,"HL-60",NA,"HL-60",NA,"HL-60","HL-60","HL-60",NA,"HL60","HL-60","HL-60",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,"Blood",NA,"Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_0002","HL60_546_2019","HL-60","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-000002",NA,NA,NA,NA
"650","HL-60(TB)","Myeloid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HL-60(TB)///LE.HL.60.TB.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leukemia",NA,"CVCL_A794","HL-60(TB)6502021_",NA,NA,"Acute myeloid leukemia","Cancer cell line",NA,NA,NA,NA,NA,NA
"651","HLC-1","Lung",NA,"HLC-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_5529","HLC1_547_2019",NA,"lung","Lung adenocarcinoma","Cancer cell line",TRUE,"ACH-001088",NA,NA,NA,NA
"652","HLE","Liver","HLE","HLE",NA,NA,NA,NA,"HLE","HLE",NA,NA,"HLE",NA,NA,NA,"HLE",NA,NA,"liver","liver",NA,NA,NA,NA,"Liver",NA,"digestive_system",NA,NA,"liver",NA,NA,"liver",NA,NA,NA,NA,NA,NA,"CVCL_1281","HLE_548_2019","HLE","liver","Hepatocellular carcinoma","Cancer cell line",NA,"ACH-001089",NA,NA,NA,NA
"653","HLF","Liver",NA,"HLF",NA,NA,NA,NA,NA,NA,"HLF","HLF",NA,NA,"HLF","HLF",NA,NA,"HLF_LIVER",NA,"liver",NA,NA,NA,NA,NA,"liver",NA,NA,NA,"liver","liver","Liver",NA,"HLF","liver",NA,NA,NA,"liver","CVCL_2947","HLF_549_2019",NA,"liver","Hepatocellular carcinoma","Cancer cell line",NA,"ACH-000393",NA,NA,NA,NA
"654","HLF-a","Lung",NA,"HLF-a",NA,NA,NA,NA,NA,NA,"HLF-a","HLF-a",NA,NA,NA,NA,NA,NA,NA,NA,"lung",NA,NA,NA,NA,NA,"lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2255","HLFa_550_2019",NA,"lung","Squamous cell lung carcinoma","Cancer cell line",NA,"ACH-000797",NA,NA,NA,NA
"655","HMC-1-8","Breast",NA,"HMC-1-8",NA,NA,NA,NA,NA,NA,"HMC-1-8","HMC-1-8",NA,NA,"HMC18",NA,NA,NA,"HMC18_BREAST",NA,"breast",NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,"breast",NA,NA,"HMC18","breast",NA,NA,NA,"breast","CVCL_2949","HMC18_552_2019",NA,"breast","Breast carcinoma","Cancer cell line",TRUE,"ACH-000721",NA,NA,NA,NA
"656","HMCB","Skin",NA,"HMCB","HMCB",NA,NA,NA,NA,NA,"HMCB","HMCB",NA,NA,"HMCB",NA,NA,NA,NA,NA,"skin","skin",NA,NA,NA,NA,"skin",NA,NA,NA,"skin","skin",NA,NA,"HMCB","skin",NA,NA,NA,NA,"CVCL_3317","HMCB_553_2019",NA,"skin","Melanoma","Cancer cell line",NA,"ACH-000931",NA,NA,NA,NA
"657","HMEL","Breast",NA,"HMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_IZ34","HMEL_554_2019",NA,"breast",NA,"Transformed cell line",NA,"ACH-000642",NA,NA,NA,NA
"658","HMT-3522 S1","Breast",NA,NA,NA,"S1///HMT3522S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2499","S1_1340_2019",NA,"breast","Breast carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"659","HMT-3522 T4-2","Breast",NA,NA,NA,"T4///HMT3522T42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2501","T4_1558_2019",NA,"breast","Breast carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"660","HMV-II","Vulva/Vagina","HMV-II",NA,NA,NA,NA,NA,"HMV-II","HMV-II",NA,NA,"HMV-II",NA,NA,"HMVII","HMV-II",NA,NA,"skin",NA,NA,NA,NA,NA,"Skin",NA,"skin",NA,NA,"skin",NA,"Skin","skin",NA,NA,NA,NA,NA,NA,"CVCL_1282","HMVII_555_2019","HMV-II","skin","Vaginal melanoma","Cancer cell line",NA,"ACH-002040",NA,NA,NA,NA
"661","HMY-1","Skin",NA,NA,NA,NA,"HMY-1",NA,NA,NA,NA,NA,NA,NA,NA,"HMY-1",NA,NA,NA,NA,NA,NA,NA,"Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2950","HMY1_556_2019",NA,"skin","Melanoma","Cancer cell line",TRUE,"ACH-001522",NA,NA,NA,NA
"662","HN","Head and Neck","HN","HN",NA,NA,"HN",NA,"HN","HN",NA,NA,"HN",NA,NA,"HN","HN",NA,NA,"upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA,"Oral Cavity",NA,"Head & Neck",NA,"aero_digestive_tract",NA,NA,"upper_aerodigestive_tract",NA,"Head and Neck","upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,"CVCL_1283","HN_557_2019","HN","upper_aerodigestive_tract","Oral cavity squamous cell carcinoma","Cancer cell line",TRUE,"ACH-001090",NA,NA,NA,NA
"663","HN-5","Head and Neck",NA,NA,"HN5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"head_and_neck",NA,NA,NA,NA,NA,NA,NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HN-56632021_",NA,"upper_aerodigestive_tract","Tongue squamous cell carcinoma",NA,NA,NA,NA,NA,NA,NA
"664","HNT-34","Myeloid",NA,"HNT-34",NA,NA,"HNT-34",NA,NA,NA,NA,NA,NA,NA,NA,"HNT-34",NA,NA,NA,NA,NA,NA,NA,"Blood",NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2071","HNT34_558_2019",NA,"haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-000299",NA,NA,NA,NA
"665","HO-1-N-1","Head and Neck","HO-1-N-1",NA,NA,NA,NA,NA,"HO-1-N-1","HO-1-N-1",NA,NA,"HO-1-N-1",NA,NA,"HO-1-N-1","HO-1-N-1",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,"Head & Neck",NA,"aero_digestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,"CVCL_1284","HO1N1_559_2019","HO-1-N-1","upper_aerodigestive_tract","Buccal mucosa squamous cell carcinoma","Cancer cell line",NA,"ACH-002244",NA,NA,NA,NA
"666","HO-1-u-1","Head and Neck",NA,NA,NA,NA,NA,NA,"HO-1-u-1","HO-1-u-1",NA,NA,"HO-1-u-1",NA,NA,"HO-1-u-1","HO-1-u-1",NA,NA,NA,NA,NA,NA,NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,"upper_aerodigestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,"CVCL_2784","HO1u1_560_2019","HO-1-u-1","upper_aerodigestive_tract","Floor of mouth squamous cell carcinoma","Cancer cell line",NA,"ACH-002045",NA,NA,NA,NA
"667","HOKUG","Cervix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8705","HOKUG6672021_",NA,NA,NA,NA,NA,"ACH-002019",NA,NA,NA,NA
"668","HOP-18","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOP-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Small Cell Lung Cancer",NA,"CVCL_H642","HOP-186682021_",NA,NA,"Lung large cell carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"669","HOP-62","Lung","HOP-62","HOP-62","HOP62",NA,"HOP-62",NA,"HOP-62",NA,"HOP-62","HOP-62","HOP-62",NA,"HOP62","HOP-62","HOP-62","HOP-62///LC.HOP.62",NA,"lung",NA,"lung",NA,"Lung",NA,"Lung","lung","lung",NA,NA,"lung",NA,"Lung","lung","HOP62",NA,NA,NA,"Non-Small Cell Lung Cancer///Non-Small Cell Lung",NA,"CVCL_1285","HOP62_561_2019","HOP-62","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000861",NA,NA,NA,NA
"670","HOP-92","Lung","HOP-92","HOP-92","HOP92",NA,"HOP-92",NA,"HOP-92",NA,"HOP-92","HOP-92","HOP-92",NA,"HOP92","HOP-92","HOP-92","HOP-92///LC.HOP.92",NA,"lung",NA,"lung",NA,"Lung",NA,"Lung:NSCLC","lung","lung",NA,NA,"lung",NA,"Lung","lung","HOP92",NA,NA,NA,"Non-Small Cell Lung Cancer///Non-Small Cell Lung",NA,"CVCL_1286","HOP92_562_2019","HOP-92","lung","Non-small cell lung carcinoma","Cancer cell line",NA,"ACH-000825",NA,NA,NA,NA
"671","HOS","Bone","HOS","HOS","HOS",NA,NA,NA,"HOS","HOSMNNG","HOS","HOS","HOS",NA,"HOS",NA,"HOS",NA,"HOS_BONE","bone","bone","sarcoma",NA,NA,NA,"Bone","bone","bone",NA,NA,"bone","bone",NA,"bone","HOS","bone",NA,NA,NA,"bone","CVCL_0312","HOS_563_2019","HOS","bone","Osteosarcoma","Cancer cell line",NA,"ACH-000613",NA,NA,NA,NA
"672","HOTHC","Thyroid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8708","HOTHC6722021_",NA,NA,NA,NA,NA,"ACH-002041",NA,NA,NA,NA
"673","HOUA-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_3867","HOUA-I6732021_",NA,NA,NA,NA,NA,"ACH-002027",NA,NA,NA,NA
"674","HPAC","Pancreas",NA,"HPAC","HPAC",NA,"HPAC","HPAC","HPAC",NA,"HPAC","HPAC","HPAC",NA,"HPAC","HPAC","HPAC",NA,"HPAC_PANCREAS",NA,"pancreas","pancreas",NA,"Pancreas","PANCREAS","Pancreas","pancreas",NA,NA,NA,"pancreas","pancreas","Pancreas","pancreas",NA,NA,NA,NA,NA,"pancreas","CVCL_3517","HPAC_564_2019","HPAC","pancreas","Pancreatic adenocarcinoma","Cancer cell line",NA,"ACH-000270",NA,NA,NA,NA
"675","HPAF-II","Pancreas","HPAF-II","HPAF-II","HPAFII",NA,"HPAF-II",NA,"HPAF-II",NA,"HPAF-II","HPAF-II","HPAF-II",NA,"HPAFII","HPAF-II","HPAF-II",NA,NA,"pancreas","pancreas","pancreas",NA,"Pancreas",NA,"Pancreas","pancreas","pancreas",NA,NA,"pancreas","pancreas","Pancreas","pancreas","HPAFII","pancreas",NA,NA,NA,NA,"CVCL_0313","HPAFII_565_2019","HPAF-II","pancreas","Pancreatic ductal adenocarcinoma","Cancer cell line",TRUE,"ACH-000094",NA,NA,NA,NA
"676","HPB-ALL","Lymphoid",NA,"HPB-ALL",NA,NA,NA,NA,NA,NA,"HPB-ALL","HPB-ALL",NA,NA,"HPBALL",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_1820","HPBALL_566_2019",NA,"haematopoietic_and_lymphoid_tissue","Childhood T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000942",NA,NA,NA,NA
"677","HRT-18","Bowel",NA,"HRT-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"large_intestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"large_intestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2514","HRT18_567_2019",NA,"large_intestine","Colon adenocarcinoma","Cancer cell line",NA,"ACH-001091",NA,NA,NA,NA
"678","HS-SY-2","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8719","HS-SY-26782021_",NA,NA,NA,NA,NA,"ACH-002085",NA,NA,NA,NA
"679","HS-Sultan","Lymphoid",NA,NA,"HSSULTAN",NA,"HS-Sultan",NA,NA,NA,NA,NA,NA,NA,NA,"HS-Sultan",NA,NA,NA,NA,NA,"hematopoietic_and_lymphatic_system",NA,"Blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2516","HSSultan_616_2019",NA,"haematopoietic_and_lymphoid_tissue","Epstein-Barr virus-related Burkitt lymphoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"680","HSC-1","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2807","HSC-16802021_",NA,NA,NA,NA,NA,"ACH-001523",NA,NA,NA,NA
"681","HSC-2","Head and Neck","HSC-2","HSC-2",NA,NA,NA,"HSC2","HSC-2",NA,"HSC-2","HSC-2","HSC-2",NA,"HSC2","HSC-2","HSC-2",NA,"HSC2_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA,NA,"UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive_tract","aero_digestive_tract",NA,NA,"upper_aerodigestive_tract","upper_aerodigestive_tract",NA,"upper_aerodigestive_tract","HSC2","upper_aerodigestive_tract",NA,NA,NA,"upper_aerodigestive","CVCL_1287","HSC2_619_2019","HSC-2","upper_aerodigestive_tract","Oral cavity squamous cell carcinoma","Cancer cell line",TRUE,"ACH-000472",NA,NA,NA,NA
"682","HSC-3","Head and Neck","HSC-3","HSC-3",NA,NA,NA,NA,"HSC-3",NA,"HSC-3","HSC-3","HSC-3",NA,"HSC3","HSC-3","HSC-3",NA,"HSC3_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA,NA,NA,"Head & Neck","upper_aerodigestive_tract","aero_digestive_tract",NA,NA,"upper_aerodigestive_tract","upper_aerodigestive_tract",NA,"upper_aerodigestive_tract","HSC3","upper_aerodigestive_tract",NA,NA,NA,"upper_aerodigestive","CVCL_1288","HSC3_620_2019","HSC-3","upper_aerodigestive_tract","Tongue squamous cell carcinoma","Cancer cell line",TRUE,"ACH-000778",NA,NA,NA,NA
"683","HSC-39","Esophagus/Stomach",NA,NA,NA,NA,NA,NA,"HSC-39","HSC-39",NA,NA,"HSC-39",NA,NA,NA,"HSC-39",NA,NA,NA,NA,NA,NA,NA,NA,"Stomach",NA,NA,NA,NA,"stomach",NA,NA,"stomach",NA,NA,NA,NA,NA,NA,"CVCL_A385","HSC39_621_2019","HSC-39","stomach","Signet ring cell gastric adenocarcinoma","Cancer cell line",TRUE,"ACH-002141",NA,NA,NA,NA
"684","HSC-4","Head and Neck","HSC-4","HSC-4",NA,NA,NA,NA,"HSC-4",NA,"HSC-4","HSC-4","HSC-4",NA,"HSC4","HSC-4","HSC-4",NA,NA,"upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA,NA,NA,"Head & Neck","upper_aerodigestive_tract","aero_digestive_tract",NA,NA,"upper_aerodigestive_tract","upper_aerodigestive_tract",NA,"upper_aerodigestive_tract","HSC4","upper_aerodigestive_tract",NA,NA,NA,NA,"CVCL_1289","HSC4_622_2019","HSC-4","upper_aerodigestive_tract","Tongue squamous cell carcinoma","Cancer cell line",TRUE,"ACH-000546",NA,NA,NA,NA
"685","HSC-5 [Human skin squamous cell carcinoma]","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_0314","HSC-5 [Human skin squamous cell carcinoma]6852021_",NA,NA,NA,NA,NA,"ACH-001524",NA,NA,NA,NA
"686","HSJD-DIPG-007","CNS/Brain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_VU70","HSJD-DIPG-0076862021_",NA,NA,NA,NA,NA,"ACH-002348",NA,NA,NA,NA
"687","HSKT-C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8234","HSKT-C6872021_",NA,NA,NA,NA,NA,"ACH-002038",NA,NA,NA,NA
"688","HSOS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSOS16882021_",NA,NA,NA,NA,NA,"ACH-002069",NA,NA,NA,NA
"689","HSQ-89","Head and Neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_7674","HSQ-896892021_",NA,NA,NA,NA,NA,"ACH-002044",NA,NA,NA,NA
"690","HSSCH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSSCH26902021_",NA,NA,NA,NA,NA,"ACH-002066",NA,NA,NA,NA
"691","HT","Lymphoid","HT","HT","HT",NA,"HT","HT",NA,NA,"HT","HT","HT",NA,"HT","HT","HT","HT",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,"Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"Lymphoma",NA,"CVCL_1290","HT_624_2019","HT","haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma germinal center B-cell type","Cancer cell line",NA,"ACH-000914",NA,NA,NA,NA
